[2026-04-28--17-12-06 INFO actix_server::builder] starting 5 workers
[2026-04-28--17-12-06 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-04-28--17-12-06 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-04-28--17-12-06 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-04-28--17-12-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55332.
[2026-04-28--17-13-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34714.
[2026-04-28--17-13-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35458.
[2026-04-28--17-13-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35460.
[2026-04-28--17-15-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41882.
[2026-04-28--17-16-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43038.
[2026-04-28--17-16-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48986.
[2026-04-28--17-16-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48988.
[2026-04-28--17-50-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45624.
[2026-04-28--17-53-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36116.
[2026-04-28--17-53-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54152.
[2026-04-28--17-55-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60356.
[2026-04-28--17-55-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51774.
[2026-04-28--17-55-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51776.
[2026-04-28--17-55-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48340.
[2026-04-28--18-02-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51930.
[2026-04-28--18-02-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48654.
[2026-04-28--18-03-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38928.
[2026-04-28--18-03-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38942.
[2026-04-28--18-03-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42478.
[2026-04-28--18-03-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36680.
[2026-04-28--18-03-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36696.
[2026-04-28--18-04-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49344.
[2026-04-28--18-05-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43898.
[2026-04-28--18-05-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54842.
[2026-04-28--18-06-52 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45834.
[2026-04-28--18-08-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45940.
[2026-04-28--18-08-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45952.
[2026-04-28--18-08-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56206.
[2026-04-28--18-09-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40238.
[2026-04-28--18-10-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33244.
